      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  0.61,E06000001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000001,    0.028,    0.028,    0.028,    0.061,    0.084,    0.028,    0.033,    0.028,    0.056,    0.061,    0.056,    0.028,    0.028,    0.028,    0.028,    0.056,    0.084,    0.056,    0.028,    0.028
  1.25,E06000001,    0.084,    0.140,    0.167,    0.262,    0.267,    0.167,    0.151,    0.140,    0.178,    0.206,    0.267,    0.184,    0.151,    0.140,    0.167,    0.240,    0.167,    0.262,    0.229,    0.084
  1.50,E06000001,    0.084,    0.178,    0.256,    0.384,    0.523,    0.256,    0.178,    0.195,    0.206,    0.323,    0.384,    0.267,    0.334,    0.195,    0.256,    0.378,    0.251,    0.523,    0.367,    0.084
  1.75,E06000001,    0.140,    0.251,    0.356,    0.623,    0.834,    0.378,    0.351,    0.284,    0.412,    0.356,    0.567,    0.329,    0.456,    0.256,    0.256,    0.623,    0.251,    0.834,    0.490,    0.140
  2.00,E06000001,    0.140,    0.284,    0.407,    0.707,    1.002,    0.407,    0.407,    0.312,    0.445,    0.412,    0.596,    0.329,    0.512,    0.284,    0.312,    0.707,    0.284,    1.002,    0.579,    0.140
  2.25,E06000001,    0.173,    0.312,    0.529,    0.768,    1.230,    0.596,    0.440,    0.345,    0.529,    0.534,    0.629,    0.395,    0.696,    0.312,    0.440,    0.740,    0.323,    1.230,    0.768,    0.173
  2.50,E06000001,    0.395,    0.440,    0.707,    1.018,    1.491,    0.756,    0.501,    0.440,    0.718,    0.707,    0.779,    0.462,    0.979,    0.529,    0.545,    1.018,    0.540,    1.491,    0.968,    0.395
  2.75,E06000001,    0.612,    0.645,    0.874,    1.307,    1.646,    0.962,    0.645,    0.678,    0.874,    1.012,    0.918,    0.689,    1.307,    0.667,    0.818,    1.196,    0.700,    1.646,    1.112,    0.612
  3.00,E06000001,    0.751,    0.784,    1.218,    1.746,    2.063,    1.312,    0.890,    0.818,    1.034,    1.541,    1.245,    1.007,    1.624,    0.751,    1.218,    1.641,    0.962,    2.063,    1.746,    0.784
  3.25,E06000001,    0.990,    1.196,    1.519,    2.213,    2.430,    1.729,    1.334,    1.312,    1.519,    1.836,    1.601,    1.196,    2.030,    1.301,    1.451,    2.052,    1.212,    2.430,    2.213,    0.990
  3.50,E06000001,    1.174,    1.434,    1.885,    2.814,    2.836,    2.096,    1.552,    1.596,    1.880,    2.230,    1.957,    1.434,    2.380,    1.785,    1.885,    2.674,    1.518,    2.836,    2.814,    1.174
  3.75,E06000001,    1.424,    1.679,    2.181,    3.274,    3.341,    2.441,    1.902,    1.936,    2.181,    2.630,    2.352,    1.713,    2.730,    2.163,    2.018,    3.274,    1.679,    3.208,    3.341,    1.424
  4.00,E06000001,    1.936,    1.941,    2.652,    3.792,    3.814,    2.652,    2.185,    2.436,    2.652,    3.019,    2.541,    1.936,    3.075,    2.708,    2.514,    3.792,    2.263,    3.563,    3.814,    1.941
  0.61,E06000004,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000004,    0.027,    0.027,    0.040,    0.061,    0.081,    0.040,    0.047,    0.040,    0.058,    0.061,    0.058,    0.030,    0.040,    0.027,    0.027,    0.054,    0.081,    0.058,    0.027,    0.027
  1.25,E06000004,    0.081,    0.129,    0.192,    0.273,    0.296,    0.179,    0.195,    0.152,    0.192,    0.239,    0.296,    0.221,    0.175,    0.129,    0.183,    0.249,    0.179,    0.273,    0.213,    0.081
  1.50,E06000004,    0.094,    0.196,    0.336,    0.414,    0.539,    0.310,    0.226,    0.236,    0.232,    0.392,    0.414,    0.336,    0.386,    0.196,    0.341,    0.408,    0.287,    0.539,    0.368,    0.094
  1.75,E06000004,    0.152,    0.287,    0.442,    0.670,    0.837,    0.451,    0.432,    0.371,    0.458,    0.442,    0.612,    0.397,    0.510,    0.308,    0.358,    0.670,    0.287,    0.837,    0.506,    0.152
  2.00,E06000004,    0.152,    0.320,    0.489,    0.724,    0.980,    0.479,    0.489,    0.399,    0.491,    0.499,    0.639,    0.397,    0.568,    0.334,    0.412,    0.724,    0.320,    0.980,    0.594,    0.152
  2.25,E06000004,    0.206,    0.366,    0.559,    0.785,    1.177,    0.613,    0.523,    0.432,    0.559,    0.620,    0.686,    0.463,    0.713,    0.366,    0.525,    0.761,    0.373,    1.177,    0.785,    0.206
  2.50,E06000004,    0.451,    0.524,    0.747,    1.012,    1.437,    0.817,    0.597,    0.525,    0.747,    0.773,    0.817,    0.524,    0.991,    0.583,    0.632,    1.012,    0.565,    1.437,    1.009,    0.451
  2.75,E06000004,    0.652,    0.693,    0.891,    1.308,    1.602,    1.013,    0.708,    0.708,    0.891,    1.055,    0.903,    0.693,    1.308,    0.750,    0.854,    1.182,    0.712,    1.602,    1.155,    0.652
  3.00,E06000004,    0.828,    0.847,    1.217,    1.777,    2.020,    1.341,    0.957,    0.847,    1.047,    1.535,    1.237,    0.978,    1.613,    0.828,    1.217,    1.627,    0.980,    2.020,    1.777,    0.865
  3.25,E06000004,    1.061,    1.155,    1.498,    2.234,    2.377,    1.749,    1.378,    1.311,    1.498,    1.804,    1.602,    1.155,    2.039,    1.376,    1.450,    2.071,    1.232,    2.377,    2.234,    1.061
  3.50,E06000004,    1.262,    1.371,    1.887,    2.803,    2.810,    2.079,    1.579,    1.596,    1.870,    2.242,    1.929,    1.371,    2.370,    1.851,    1.887,    2.644,    1.527,    2.803,    2.810,    1.262
  3.75,E06000004,    1.504,    1.649,    2.206,    3.260,    3.338,    2.452,    1.934,    1.887,    2.172,    2.600,    2.367,    1.649,    2.711,    2.206,    2.006,    3.260,    1.674,    3.176,    3.338,    1.504
  4.00,E06000004,    1.860,    1.988,    2.640,    3.787,    3.792,    2.640,    2.188,    2.406,    2.715,    2.971,    2.527,    1.860,    3.075,    2.819,    2.531,    3.792,    2.272,    3.533,    3.787,    1.988
  0.61,E06000002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000002,    0.033,    0.033,    0.048,    0.064,    0.094,    0.048,    0.048,    0.048,    0.064,    0.064,    0.064,    0.033,    0.048,    0.033,    0.033,    0.064,    0.094,    0.064,    0.033,    0.033
  1.25,E06000002,    0.097,    0.146,    0.212,    0.303,    0.319,    0.212,    0.212,    0.179,    0.212,    0.260,    0.319,    0.242,    0.194,    0.146,    0.209,    0.273,    0.206,    0.303,    0.243,    0.097
  1.50,E06000002,    0.112,    0.224,    0.370,    0.446,    0.589,    0.354,    0.245,    0.275,    0.260,    0.421,    0.443,    0.370,    0.418,    0.224,    0.379,    0.446,    0.331,    0.589,    0.413,    0.112
  1.75,E06000002,    0.176,    0.331,    0.473,    0.713,    0.898,    0.500,    0.473,    0.418,    0.504,    0.467,    0.649,    0.433,    0.549,    0.334,    0.394,    0.713,    0.331,    0.898,    0.556,    0.176
  2.00,E06000002,    0.176,    0.364,    0.533,    0.777,    1.057,    0.533,    0.533,    0.452,    0.534,    0.533,    0.683,    0.433,    0.616,    0.367,    0.458,    0.777,    0.364,    1.057,    0.653,    0.176
  2.25,E06000002,    0.222,    0.401,    0.613,    0.844,    1.251,    0.665,    0.567,    0.485,    0.613,    0.661,    0.731,    0.500,    0.759,    0.401,    0.570,    0.814,    0.413,    1.251,    0.844,    0.222
  2.50,E06000002,    0.464,    0.549,    0.801,    1.066,    1.506,    0.870,    0.646,    0.582,    0.801,    0.813,    0.874,    0.549,    1.038,    0.622,    0.673,    1.066,    0.591,    1.506,    1.053,    0.464
  2.75,E06000002,    0.674,    0.721,    0.947,    1.347,    1.658,    1.049,    0.749,    0.752,    0.947,    1.104,    0.953,    0.721,    1.347,    0.788,    0.892,    1.215,    0.740,    1.658,    1.187,    0.674
  3.00,E06000002,    0.858,    0.885,    1.253,    1.830,    2.079,    1.374,    1.010,    0.885,    1.114,    1.599,    1.280,    1.019,    1.654,    0.858,    1.253,    1.664,    1.006,    2.079,    1.830,    0.888
  3.25,E06000002,    1.098,    1.201,    1.587,    2.263,    2.422,    1.778,    1.443,    1.353,    1.587,    1.890,    1.639,    1.201,    2.096,    1.422,    1.486,    2.089,    1.265,    2.422,    2.263,    1.098
  3.50,E06000002,    1.310,    1.426,    1.954,    2.853,    2.856,    2.121,    1.656,    1.642,    1.954,    2.327,    1.964,    1.426,    2.434,    1.896,    1.939,    2.677,    1.577,    2.856,    2.853,    1.310
  3.75,E06000002,    1.550,    1.720,    2.279,    3.283,    3.365,    2.491,    2.020,    1.945,    2.279,    2.697,    2.397,    1.720,    2.771,    2.254,    2.054,    3.283,    1.726,    3.214,    3.365,    1.550
  4.00,E06000002,    1.924,    2.048,    2.683,    3.817,    3.818,    2.683,    2.284,    2.474,    2.814,    3.080,    2.561,    1.924,    3.129,    2.875,    2.588,    3.818,    2.342,    3.575,    3.817,    2.048
  0.61,E06000003,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012
  1.00,E06000003,    0.039,    0.039,    0.051,    0.064,    0.094,    0.051,    0.051,    0.051,    0.064,    0.064,    0.064,    0.039,    0.051,    0.039,    0.039,    0.064,    0.094,    0.064,    0.039,    0.039
  1.25,E06000003,    0.096,    0.142,    0.197,    0.277,    0.283,    0.196,    0.198,    0.169,    0.197,    0.237,    0.283,    0.222,    0.182,    0.142,    0.194,    0.247,    0.191,    0.277,    0.233,    0.096
